Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
A.J. Hammons,C,24,DAL,22,0,163,8.4,0.476,12.8,3.8,17.6,-0.2,0.2,0,-0.1,42,0.405,0.5,0.464,36,4,1,13,48
Aaron Brooks,PG,32,IND,65,0,894,9.5,0.133,4.3,20.7,19.2,-0.2,0.5,0.3,-0.6,300,0.403,0.375,0.483,69,125,25,9,322
Aaron Gordon,SF,21,ORL,80,72,2298,14.4,0.251,9.6,10.5,20.1,2,1.7,3.7,0.8,865,0.454,0.288,0.499,405,150,64,40,1019
Aaron Harrison,SG,22,CHO,5,0,17,-2.2,0.5,9.7,22.6,12.9,-0.1,0,-0.1,0,4,0,0,0,3,3,0,0,1
Adreian Payne,PF,25,MIN,18,0,135,14.4,0.352,14.3,8,23.1,0,0.2,0.2,0,54,0.426,0.2,0.454,33,7,8,7,63
Al Horford,C,30,BOS,68,68,2193,17.7,0.169,11.8,24.4,19.8,3.6,2.7,6.3,2.8,801,0.473,0.355,0.527,464,337,52,87,952
Al Jefferson,C,32,IND,66,1,931,18.9,0.18,16.8,11,26.1,1.2,1.1,2.3,-0.3,471,0.499,0,0.499,278,57,19,16,535
Al-Farouq Aminu,SF,26,POR,61,25,1773,11.3,0.292,14.1,7.9,15.4,-0.1,2,1.9,0.4,466,0.393,0.33,0.468,451,99,60,44,532
Alan Anderson,SF,34,LAC,30,0,308,5,0.2,4.4,4.9,13.7,0,0.1,0.1,-0.2,80,0.375,0.318,0.463,24,11,3,0,86
Alan Williams,C,24,PHO,47,0,708,19.5,0.419,22.4,5.2,20.9,1.1,0.9,2.1,0.1,267,0.517,0,0.517,292,23,27,32,346
Alec Burks,SG,25,UTA,42,0,653,11.6,0.315,10.6,7.5,22.7,-0.1,0.9,0.8,-0.4,248,0.399,0.329,0.45,120,30,18,5,283
Alex Abrines,SG,23,OKC,68,6,1055,10.1,0.144,4.5,5.5,15.9,1.2,0.9,2.1,-0.1,341,0.393,0.381,0.531,86,40,37,8,406
Alex Len,C,23,PHO,77,34,1560,15,0.449,17.8,4.2,17.6,1.2,1.7,3,0.1,463,0.497,0.25,0.5,510,44,37,98,613
Alex Poythress,PF,23,PHI,6,1,157,13.2,0.185,10.2,5.1,16.9,0.2,0.1,0.3,0,54,0.463,0.316,0.519,29,5,3,2,64
Alexis Ajinca,C,28,NOP,39,15,584,12.9,0.225,16,3.1,17.2,0,0.9,1,-0.3,178,0.5,0,0.5,177,12,20,22,207
Allen Crabbe,SG,24,POR,79,7,2254,11.6,0.192,5.5,6.1,14.9,3.1,1,4.1,0.5,647,0.468,0.444,0.572,225,93,54,20,845
Alonzo Gee,SF,29,DEN,13,0,89,3.1,0.643,9.3,8.2,10.5,-0.1,0.1,-0.1,-0.1,14,0.214,0,0.214,15,6,5,1,11
Amir Johnson,PF,29,BOS,80,77,1608,15,0.27,12.6,13,13.6,2.9,2.1,5,1.7,370,0.576,0.409,0.612,365,140,52,62,520
Anderson Varejao,C,34,GSW,14,1,92,9.4,0.786,16.1,13,12.6,0,0.1,0.2,0,14,0.357,0,0.357,27,10,3,3,18
Andre Drummond,C,23,DET,81,81,2409,20.9,0.39,25.3,5.9,22.4,1.4,5.3,6.7,1.7,911,0.53,0.286,0.531,1116,89,124,89,1105
Andre Iguodala,SF,33,GSW,76,0,1998,14.4,0.246,8.3,16.7,11.2,4.1,2.9,6.9,2.5,415,0.528,0.362,0.605,304,262,76,39,574
Andre Roberson,SF,25,OKC,79,79,2376,9.6,0.24,9.4,4.6,10.1,1.1,3.1,4.2,1.2,463,0.464,0.245,0.513,402,79,94,79,522
Andrew Bogut,C,32,TOT,27,21,583,9.3,0.136,21.7,12.3,10.4,-0.3,1,0.7,0.3,81,0.469,0,0.469,218,49,13,25,79
Andrew Harrison,PG,22,MEM,72,18,1474,8.7,0.539,5.3,20,16.4,0,1.5,1.6,-0.2,360,0.325,0.276,0.385,136,198,54,20,425
Andrew Nicholson,PF,27,TOT,38,0,342,5.9,0.126,9.8,4.1,17,-0.5,0.4,-0.1,-0.4,111,0.387,0.185,0.41,61,10,16,6,100
Andrew Wiggins,SF,21,MIN,82,82,3048,16.5,0.345,6.3,10.6,29,3.3,0.9,4.2,-0.6,1570,0.452,0.356,0.484,329,189,82,30,1933
Anthony Bennett,PF,23,BRK,23,1,264,14.7,0.391,15.6,7.1,19.4,0.3,0.2,0.5,-0.1,92,0.413,0.271,0.484,78,12,5,3,115
Anthony Brown,SF,24,TOT,11,0,159,7.2,0,11,7.6,15.6,-0.2,0.2,0,-0.1,50,0.36,0.259,0.43,33,8,5,1,43
Anthony Davis,C,23,NOP,75,75,2708,27.5,0.424,17.3,11.1,32.6,5.9,5.1,11,3.9,1527,0.504,0.299,0.517,886,157,94,167,2099
Anthony Morrow,SG,31,TOT,49,7,714,10,0.147,2.4,5.2,16.4,0.7,0.5,1.2,-0.4,252,0.389,0.308,0.47,31,25,24,2,271
Anthony Tolliver,PF,31,SAC,65,9,1477,11.1,0.234,9.3,7.7,13.6,1.5,0.8,2.3,0.5,351,0.442,0.391,0.57,239,77,33,20,461
Archie Goodwin,SG,22,TOT,15,0,214,18.7,0.636,6.9,18.5,19.8,0.6,0.1,0.7,0,66,0.545,0.333,0.583,28,24,4,5,110
Arinze Onuaku,C,29,ORL,8,0,28,5.8,0,11.7,9.9,9.4,0,0,0,0,4,0.5,0,0.5,6,2,0,1,4
Aron Baynes,C,30,DET,75,2,1163,13.1,0.337,15.6,3.9,14.1,1.4,1.5,3,0.1,279,0.513,0,0.513,333,32,17,39,365
Arron Afflalo,SG,31,SAC,61,45,1580,9,0.221,4.6,7.4,14.4,1.2,0.2,1.4,-0.6,420,0.44,0.411,0.514,125,78,21,7,515
Austin Rivers,SG,24,LAC,74,29,2054,11.4,0.261,4.4,15,20.3,1.2,1.3,2.5,0.2,731,0.442,0.371,0.518,161,204,48,10,889
Avery Bradley,SG,26,BOS,55,55,1835,14.4,0.12,10.1,10.9,21.9,1.1,2,3.1,0.7,775,0.463,0.39,0.533,334,121,68,11,894
Axel Toupane,SF,24,TOT,4,0,47,6.2,0,1.1,0,8.5,0,0,0.1,0,9,0.556,0.25,0.611,1,0,1,1,11
Ben Bentil,PF,21,DAL,3,0,10,-17.6,0,11.6,0,18.9,-0.1,0,-0.1,-0.1,3,0,0,0,2,0,0,0,0
Ben McLemore,SG,23,SAC,61,26,1176,9.8,0.222,6.4,6.9,20.1,-0.1,0.5,0.4,-0.8,419,0.43,0.382,0.507,130,51,29,6,495
Beno Udrih,PG,34,DET,39,0,560,16.1,0.173,5.6,35.4,19.7,0.8,0.5,1.3,-0.1,197,0.467,0.344,0.495,57,131,13,0,227
Bismack Biyombo,C,24,ORL,81,27,1793,12.2,0.69,17.2,6,13.2,0.8,2.1,2.9,-0.1,339,0.528,0,0.528,567,74,25,91,483
Blake Griffin,PF,27,LAC,61,61,2076,22.7,0.434,13.4,24.5,28,5.4,2.4,7.7,3.4,971,0.493,0.336,0.513,496,300,58,23,1316
Boban Marjanovic,C,28,DET,35,0,293,29.6,0.439,24.2,5.3,25.3,1.2,0.5,1.7,0.2,132,0.545,0,0.545,130,9,6,12,191
Bobby Brown,PG,32,HOU,25,0,123,10.8,0.033,2.7,17.6,22.7,0.1,0,0.1,-0.2,60,0.383,0.4,0.5,6,14,1,0,62
Bobby Portis,PF,21,CHI,64,13,1000,14.9,0.157,16,5.7,19.1,1.1,1.2,2.4,-0.3,375,0.488,0.333,0.531,296,35,16,11,437
Bojan Bogdanovic,SF,27,TOT,81,54,2083,13.5,0.288,7.2,8.7,22.4,2,0.9,2.9,-0.4,845,0.445,0.367,0.53,277,111,34,7,1113
Boris Diaw,PF,34,UTA,73,33,1283,9,0.107,7.1,20.3,15.6,-0.1,1.2,1.1,-0.3,327,0.446,0.247,0.477,158,170,18,9,338
Bradley Beal,SG,23,WAS,77,77,2684,20.1,0.259,5,16.2,26.5,6.8,1.6,8.5,2.8,1322,0.482,0.404,0.566,239,267,83,21,1779
Brandan Wright,PF,29,MEM,28,5,447,18.5,0.259,10,6,16.3,1.1,0.5,1.6,0.4,135,0.615,0,0.615,78,15,11,20,189
Brandon Bass,PF,31,LAC,52,0,577,19.7,0.473,12.5,5.7,19.7,1.6,0.6,2.2,0.2,186,0.575,0.333,0.578,129,21,14,11,292
Brandon Ingram,SF,19,LAL,79,40,2279,8.5,0.312,7.6,10.5,16.8,-1,0.7,-0.3,-1.1,686,0.402,0.294,0.442,317,166,50,36,740
Brandon Jennings,PG,27,TOT,81,13,1802,12.1,0.284,5.9,30.4,17.6,0.7,1,1.7,-0.4,535,0.359,0.313,0.433,196,395,70,5,577
Brandon Knight,SG,25,PHO,54,5,1140,12.3,0.293,5.6,17.8,25,0.1,0.2,0.3,-0.7,525,0.398,0.324,0.441,118,130,27,5,595
Brandon Rush,SG,31,MIN,47,33,1030,6.6,0.096,5.6,5.8,9.6,0.1,0.3,0.4,0,187,0.374,0.386,0.492,99,45,22,23,197
Brian Roberts,PG,31,CHO,41,2,416,9.8,0.32,5.2,18.7,17.9,0,0.3,0.2,-0.4,122,0.377,0.386,0.447,39,52,9,1,142
Briante Weber,PG,24,TOT,20,0,205,11,0.267,7,15,16.3,0,0.2,0.3,-0.1,60,0.417,0.1,0.425,26,21,12,1,62
Brice Johnson,PF,22,LAC,3,0,9,17.2,0,18.6,18.6,39.8,-0.1,0,0,0,7,0.286,0,0.286,3,1,2,1,4
Brook Lopez,C,28,BRK,75,75,2222,20.4,0.311,9.6,14.8,29.2,3.1,1.8,4.9,2,1172,0.474,0.346,0.531,403,176,38,124,1539
Bruno Caboclo,SF,21,TOR,9,0,40,14.6,0,14.1,15.1,20.1,0,0.1,0.1,0,16,0.375,0.333,0.438,10,4,2,1,14
Bryn Forbes,SG,23,SAS,36,0,285,5.9,0.061,4.6,11.7,17.9,-0.2,0.2,0.1,-0.3,99,0.364,0.321,0.449,23,23,1,0,94
Buddy Hield,SG,23,TOT,82,55,1888,11.8,0.099,7.8,10.3,21.4,0,1.3,1.3,-0.4,768,0.426,0.391,0.522,269,121,38,9,866
C.J. McCollum,SG,25,POR,80,80,2796,19.9,0.204,5.8,18,27.5,6.2,1.4,7.6,2.1,1441,0.48,0.42,0.544,291,285,72,42,1837
C.J. Miles,SF,29,IND,76,29,1776,13.7,0.144,7.2,4.1,18.4,2.7,1.4,4,0.7,647,0.434,0.413,0.565,229,48,46,25,815
C.J. Watson,PG,32,ORL,62,9,1012,9.3,0.266,4.8,16.1,14.1,0.2,0.6,0.9,-0.4,248,0.387,0.305,0.452,89,114,43,2,281
C.J. Wilcox,SG,26,ORL,22,0,108,2.9,0.065,6,15.5,15.4,-0.2,0,-0.2,-0.2,31,0.258,0.2,0.306,12,12,2,1,21
Cameron Payne,PG,22,TOT,31,0,462,5.6,0.041,5.7,17.7,20.9,-0.8,0.4,-0.3,-0.6,193,0.332,0.314,0.402,48,55,14,5,160
Caris LeVert,SF,22,BRK,57,26,1237,12.2,0.245,8,13.7,16.6,0.8,1,1.8,0.3,380,0.45,0.321,0.528,188,110,49,8,468
Carmelo Anthony,SF,32,NYK,74,74,2538,17.9,0.263,9.3,14.5,29.1,3.2,1.5,4.7,0.8,1389,0.433,0.359,0.488,436,213,60,34,1659
Chandler Parsons,SF,28,MEM,34,34,675,7.6,0.194,7.1,12.8,17.8,-0.5,0.7,0.2,-0.3,222,0.338,0.269,0.394,84,55,20,5,210
Channing Frye,C,33,CLE,74,15,1398,15.6,0.142,11.4,4.9,19.3,2.3,1.4,3.7,0.5,520,0.458,0.409,0.589,290,45,33,37,676
Chasson Randle,PG,23,TOT,26,0,299,13.6,0.439,5.8,16.8,19.7,0.5,0.1,0.7,0,98,0.408,0.34,0.49,32,34,9,2,137
Cheick Diallo,PF,20,NOP,17,0,199,16.8,0.276,19.3,3.2,20.5,0.2,0.3,0.5,-0.2,76,0.474,0,0.474,73,4,4,7,87
Chinanu Onuaku,C,20,HOU,5,1,52,12.3,0.571,10.5,7.8,10.4,0.1,0.1,0.1,0,7,0.714,0,0.714,10,3,3,1,14
Chris Andersen,C,38,CLE,12,0,114,11.6,0.636,15,5.9,13,0.1,0.2,0.2,0,22,0.409,0,0.409,31,5,5,7,28
Chris McCullough,PF,21,TOT,16,0,80,15.2,0.156,12.7,4.4,19.9,0.1,0.1,0.1,-0.1,32,0.5,0.143,0.516,19,2,2,2,36
Chris Paul,PG,31,LAC,61,61,1921,26.2,0.331,8.8,46.8,24.4,8,2.6,10.6,5.2,785,0.476,0.411,0.555,304,563,118,8,1104
Christian Wood,PF,21,CHO,13,0,107,15.1,0.652,14.9,2.8,15.4,0.1,0.1,0.3,0,23,0.522,0,0.522,29,2,3,6,35
Clint Capela,C,22,HOU,65,59,1551,21.4,0.314,18.5,6.9,19.9,3.9,2.1,6,1.2,563,0.643,0,0.643,526,64,34,80,818
Cody Zeller,PF,24,CHO,62,58,1725,16.7,0.442,12.9,9.1,15.5,3.4,2.2,5.6,1.8,443,0.571,0,0.571,405,99,62,58,639
Cole Aldrich,C,28,MIN,62,0,531,12.7,0.256,17.4,6.4,9.4,0.6,0.7,1.3,0.4,86,0.523,0,0.523,158,25,25,23,105
Corey Brewer,SF,30,TOT,82,11,1281,9.1,0.195,7.1,10.7,14.3,0,1.2,1.2,-0.2,348,0.422,0.229,0.461,166,97,61,19,371
Cory Joseph,SG,25,TOR,80,22,2003,13.2,0.185,6.6,20,18.4,1.7,1.7,3.4,0.6,661,0.452,0.356,0.489,235,265,66,13,740
Courtney Lee,SG,31,NYK,77,74,2459,12.1,0.139,5.7,10.6,14.4,3.1,1.1,4.2,1.1,704,0.456,0.401,0.533,260,179,81,23,835
Cristiano Felicio,C,24,CHI,66,0,1040,15.2,0.419,16.1,5.7,12.4,2.1,1.3,3.4,0.5,222,0.577,0,0.577,311,40,25,16,316
D'Angelo Russell,PG,20,LAL,63,60,1811,15.3,0.217,6.7,26.8,26.6,0.3,1,1.3,0.7,867,0.405,0.352,0.483,222,303,87,16,984
D.J. Augustin,PG,29,ORL,78,20,1538,11,0.311,4.1,20.4,19.4,0.7,0.5,1.2,-0.9,517,0.377,0.347,0.469,117,209,31,1,616
Dahntay Jones,SF,36,CLE,1,0,12,14.7,0.5,9.2,14.5,39.9,0,0,0,0,8,0.375,0,0.375,2,1,0,0,9
Damian Jones,C,21,GSW,10,0,85,5.3,0.625,14.8,0,13.4,-0.1,0.1,0,-0.2,16,0.5,0,0.5,23,0,1,4,19
Damian Lillard,PG,26,POR,75,75,2694,24.1,0.366,7.6,28.7,31.5,8.8,1.5,10.3,4.3,1488,0.444,0.37,0.516,368,439,68,20,2024
Damjan Rudez,SF,30,ORL,45,0,314,6.3,0,4.3,9.2,13.6,-0.1,0.2,0.1,-0.2,88,0.352,0.313,0.466,25,20,12,1,82
Daniel Ochefu,C,23,WAS,19,0,75,6.6,0.074,16.5,5.8,18,-0.1,0.1,0,-0.1,27,0.444,0,0.444,22,3,2,0,24
Danilo Gallinari,SF,28,DEN,63,63,2134,17.4,0.516,8.4,9.1,19.9,6.2,0.7,6.9,1.5,750,0.447,0.389,0.531,326,135,40,15,1145
Danny Green,SG,29,SAS,68,68,1807,10.2,0.071,7,9.6,13.5,0.4,3,3.4,2,449,0.392,0.379,0.523,224,124,71,58,497
Dante Cunningham,SF,29,NOP,66,35,1649,10.2,0.075,8.9,3.1,10.7,1.4,1.6,3,0.6,359,0.485,0.392,0.584,277,36,39,28,435
Dante Exum,PG,21,UTA,66,26,1228,8.6,0.201,6.2,14.2,18.1,-0.1,1.3,1.2,-0.1,363,0.427,0.295,0.488,132,112,21,12,412
Danuel House,SG,23,WAS,1,0,1,12.2,0,56.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dario Saric,PF,22,PHI,81,36,2129,12.8,0.237,13.3,14.3,24.6,-1.2,2.2,1,-0.1,927,0.411,0.311,0.468,513,182,57,30,1040
Darrell Arthur,PF,28,DEN,41,7,639,12.8,0.102,9.7,9.3,17.3,0.6,0.4,1.1,0.3,215,0.442,0.453,0.565,112,42,19,21,262
Darren Collison,PG,29,SAC,68,64,2063,15.3,0.239,4.3,24.5,19.8,3.1,0.8,3.9,0.3,714,0.476,0.417,0.527,153,312,67,9,900
Darrun Hilliard,SG,23,DET,39,1,381,5.9,0.222,4.7,12.3,19.3,-0.6,0.4,-0.2,-0.4,126,0.373,0.261,0.421,33,33,11,2,127
David Lee,PF,33,SAS,79,10,1477,18.4,0.269,16.9,13,16.9,3.2,2.5,5.7,1.9,420,0.59,0,0.59,440,124,31,40,576
David Nwaba,SG,24,LAL,20,2,397,12.1,0.481,8.5,5,11.8,0.6,0.2,0.7,0,81,0.58,0.2,0.586,62,14,13,7,120
David West,C,36,GSW,68,0,854,16.6,0.222,13,24.1,17.9,0.9,1.7,2.6,0.9,252,0.536,0.375,0.542,203,151,42,48,316
Davis Bertans,PF,24,SAS,67,6,808,12.9,0.145,6.9,8.3,15.7,1.1,1.2,2.3,0.8,234,0.44,0.399,0.588,99,46,20,28,303
DeAndre Jordan,C,28,LAC,81,81,2570,21.8,0.737,24.2,5.7,15.3,7.2,4.6,11.8,3.9,577,0.714,0,0.714,1114,96,52,135,1029
DeAndre Liggins,SG,28,TOT,62,19,777,7.5,0.282,7.7,9.2,11.6,-0.4,0.9,0.5,0,142,0.387,0.37,0.447,108,54,47,14,152
DeMar DeRozan,SG,27,TOR,74,74,2620,24,0.419,8.3,20.6,34.3,6.7,2.4,9,1.9,1545,0.467,0.266,0.477,386,290,78,13,2020
DeMarcus Cousins,C,26,TOT,72,72,2465,25.7,0.468,18.2,25.8,36.5,3.8,3.8,7.6,5.3,1433,0.452,0.36,0.497,797,332,100,92,1942
DeMarre Carroll,SF,30,TOR,72,72,1882,11.9,0.213,8.3,5.7,15.5,1.7,2.1,3.8,1.4,549,0.401,0.341,0.5,275,74,81,27,638
Dejounte Murray,PG,20,SAS,38,8,322,9.6,0.259,7.4,22.6,23.5,-0.4,0.5,0,-0.2,116,0.431,0.391,0.47,42,48,8,6,130
Delon Wright,PG,24,TOR,27,0,446,15,0.474,6.1,18.2,16.6,0.5,0.6,1.1,0.4,116,0.422,0.333,0.466,48,57,27,11,150
Demetrius Jackson,PG,22,BOS,5,0,17,30.8,1.5,13.1,28.2,17.3,0.1,0,0.1,0,4,0.75,1,0.875,4,3,0,0,10
Dennis Schroder,PG,23,ATL,79,78,2485,16.1,0.21,5.5,35.5,27.8,1.2,2.5,3.7,0.8,1215,0.451,0.34,0.492,248,499,74,16,1414
Denzel Valentine,SG,23,CHI,57,0,976,7.3,0.063,8.3,9.3,15.4,-0.5,1.1,0.6,-0.2,288,0.354,0.351,0.481,151,63,30,7,291
Deron Williams,PG,32,TOT,64,44,1657,14,0.182,5.1,35.9,22.1,1.5,0.9,2.4,-0.1,600,0.438,0.363,0.509,147,360,31,8,701
Derrick Favors,PF,25,UTA,50,39,1186,15.8,0.261,14.9,7.9,20.7,0.5,2.2,2.7,0.6,417,0.487,0.3,0.49,305,56,45,40,476
Derrick Jones,SF,19,PHO,32,8,545,12,0.339,7.9,3.1,11.7,0.9,0.2,1.1,0.1,121,0.562,0.273,0.574,79,12,14,13,168
Derrick Rose,PG,28,NYK,64,64,2082,17,0.259,6.4,22.8,25.7,2.4,0.6,3,0,977,0.471,0.217,0.477,246,283,44,17,1154
Derrick Williams,PF,25,TOT,50,11,804,10.6,0.365,8.9,5.1,17.2,0.4,0.6,1.1,-0.4,244,0.443,0.309,0.504,130,28,14,7,304
Devin Booker,SG,20,PHO,78,78,2730,14.6,0.308,5,16.3,28.6,1.4,0.6,2,-0.2,1431,0.423,0.363,0.475,249,268,72,21,1726
Devin Harris,PG,33,DAL,65,0,1087,13.8,0.378,6.8,20,19.7,1.1,1.1,2.2,0.4,341,0.399,0.328,0.484,127,136,43,7,437
Dewayne Dedmon,C,27,SAS,76,37,1330,16,0.359,21.1,4.8,12.3,2.2,3,5.2,1.2,259,0.622,0,0.622,495,44,37,61,387
Deyonta Davis,C,20,MEM,36,0,238,10.6,0.383,14.4,1.3,12,0.1,0.4,0.5,-0.1,47,0.511,0,0.511,60,2,3,17,58
Diamond Stone,C,19,LAC,7,0,24,-1.2,0.308,14,0,31.3,-0.1,0,-0.1,-0.1,13,0.231,0,0.231,6,0,0,1,10
Dion Waiters,SG,25,MIA,46,43,1384,14.5,0.192,6.2,23.8,26.3,0.2,1.5,1.6,0.4,663,0.424,0.395,0.488,154,200,41,20,729
Dirk Nowitzki,PF,38,DAL,54,54,1424,17,0.165,14.4,10.6,25.8,0.6,1.9,2.5,0.2,678,0.437,0.378,0.495,353,82,30,38,769
Domantas Sabonis,PF,20,OKC,81,66,1632,6.9,0.139,9.7,7.2,15.4,-1,1.8,0.7,-1.2,481,0.399,0.321,0.452,287,82,39,32,479
Donatas Motiejunas,PF,26,NOP,34,0,479,9.2,0.355,11.1,10.3,17.6,-0.4,0.6,0.2,-0.1,138,0.413,0.234,0.453,101,34,18,11,150
Dorian Finney-Smith,PF,23,DAL,81,35,1642,7.7,0.183,7.8,6,11.6,-0.1,1.5,1.4,0.2,333,0.372,0.293,0.456,221,67,52,25,350
Doug McDermott,SF,25,TOT,66,5,1508,10.7,0.169,6.4,5.9,16.4,1.6,1,2.6,-0.6,497,0.447,0.372,0.524,179,58,13,5,592
Dragan Bender,PF,19,PHO,43,0,574,5.3,0.068,9.7,5.5,14.4,-0.7,0.3,-0.3,-0.3,161,0.354,0.277,0.441,103,23,10,22,146
Draymond Green,PF,26,GSW,76,76,2471,16.5,0.328,13.3,27.6,16.2,2.8,5.4,8.2,4.6,650,0.418,0.308,0.481,599,533,154,106,776
Dwight Howard,C,31,ATL,74,74,2199,20.8,0.692,23.5,7.8,19.2,3.8,4.5,8.3,2.4,613,0.633,0,0.633,940,104,64,92,1002
Dwight Powell,C,25,DAL,77,3,1333,17.6,0.374,13.3,6.1,16.7,2.7,1.9,4.6,1.2,377,0.515,0.284,0.542,306,49,61,39,516
Dwyane Wade,SG,35,CHI,60,59,1792,18.5,0.294,8.2,22.4,29.6,0.9,2.5,3.4,1.4,955,0.434,0.31,0.457,271,229,86,41,1096
E'Twaun Moore,SG,27,NOP,73,22,1820,12.1,0.12,4.4,13.8,17.4,1.2,1.5,2.7,0.3,619,0.457,0.37,0.519,152,164,50,32,700
Ed Davis,PF,27,POR,46,12,789,11.5,0.57,17.1,4.8,12,1,0.7,1.7,0,142,0.528,0,0.528,243,27,15,22,200
Edy Tavares,C,24,TOT,2,0,28,21.3,0.6,21.6,5.1,13.2,0,0.1,0.1,0,5,0.8,0,0.8,11,1,0,6,8
Elfrid Payton,PG,22,ORL,82,58,2412,17.2,0.231,8.7,35.7,21.6,2.4,2,4.4,1.7,912,0.471,0.274,0.493,387,529,88,40,1046
Elijah Millsap,SG,29,PHO,2,0,23,-3.4,0.286,14.2,5.6,18,-0.1,0,-0.1,-0.1,7,0.143,0,0.143,6,1,0,0,3
Emmanuel Mudiay,PG,20,DEN,55,41,1406,10.9,0.303,7,21.8,22.6,-0.4,0.5,0.2,-0.6,551,0.377,0.315,0.428,178,217,41,13,603
Enes Kanter,C,24,OKC,72,0,1533,23.7,0.387,17.4,7.9,27.3,4,1.8,5.8,0.3,737,0.545,0.132,0.549,482,67,32,38,1033
Eric Bledsoe,PG,27,PHO,66,66,2176,20.6,0.443,8,31.1,28.1,4,1.4,5.4,2.9,1034,0.434,0.335,0.485,320,418,92,31,1390
Eric Gordon,SG,28,HOU,75,15,2323,13.1,0.172,4.7,12.3,22.1,2.5,1.4,3.8,0.4,1016,0.406,0.372,0.527,201,188,48,40,1217
Ersan Ilyasova,PF,29,TOT,82,52,2142,14.6,0.233,12.4,11,22.2,1.8,2.3,4.1,0.8,890,0.431,0.353,0.511,481,141,58,23,1071
Evan Fournier,SG,24,ORL,68,66,2234,13.9,0.298,5.1,14.8,23.5,1.7,1.1,2.8,0.4,930,0.439,0.356,0.508,209,202,66,4,1167
Evan Turner,SF,28,POR,65,12,1658,11.4,0.187,8.3,18.4,18.5,0,1.2,1.2,-0.3,552,0.426,0.263,0.454,247,205,53,24,586
Frank Kaminsky,C,23,CHO,75,16,1954,13,0.195,9.5,13.5,21.8,0.4,1.9,2.3,0.2,802,0.399,0.328,0.471,336,162,47,34,874
Fred VanVleet,PG,22,TOR,37,0,294,10.5,0.198,8.1,17.5,20.6,-0.1,0.4,0.3,-0.1,111,0.351,0.379,0.401,42,35,17,2,107
Garrett Temple,SG,30,SAC,65,21,1728,11.2,0.171,6.1,14.5,14.2,0.9,1.3,2.2,1,432,0.424,0.373,0.519,183,169,84,28,506
Gary Harris,SG,22,DEN,57,56,1782,16.5,0.21,5.5,13.6,18.4,3.9,0.7,4.6,1.6,637,0.502,0.42,0.586,178,164,71,8,851
Gary Neal,SG,32,ATL,2,0,18,-4.3,0.571,3.1,7.1,21.2,-0.1,0,-0.1,-0.1,7,0,0,0,1,1,0,0,4
Gary Payton,PG,24,MIL,6,0,99,4.5,0.227,7.1,18.1,15.8,-0.3,0.1,-0.2,-0.1,22,0.364,0.111,0.386,12,13,3,4,20
George Hill,PG,30,UTA,49,49,1544,19.3,0.323,6.2,22.6,23.5,4,1.9,5.9,2.2,606,0.477,0.403,0.554,167,203,50,11,829
Georges Niang,PF,23,IND,23,0,93,0.1,0.056,10.3,7.5,20.2,-0.4,0.1,-0.3,-0.2,36,0.25,0.083,0.264,17,5,3,0,21
Georgios Papagiannis,C,19,SAC,22,0,355,12.7,0.137,14,9,16.9,0.1,0.3,0.4,-0.1,102,0.549,0,0.549,86,20,3,17,124
Gerald Green,SF,31,BOS,47,0,538,12,0.177,8.8,9.8,22.7,0.1,0.4,0.6,-0.4,232,0.409,0.351,0.494,85,33,9,7,262
Gerald Henderson,SG,29,PHI,72,41,1667,10.8,0.298,6.1,10.5,17.9,1,1,2.1,-0.5,553,0.423,0.353,0.478,185,112,41,15,662
Giannis Antetokounmpo,SF,22,MIL,80,80,2845,26.1,0.486,14.3,26.6,28.3,7.9,4.5,12.4,6.9,1259,0.521,0.272,0.541,700,434,131,151,1832
Glenn Robinson,SF,23,IND,69,27,1426,11.5,0.225,9.6,4.7,12.8,1.3,1.2,2.5,0.2,338,0.467,0.392,0.54,245,47,41,20,419
Goran Dragic,PG,30,MIA,73,73,2459,19.7,0.335,6.3,29,27.1,5,2.6,7.5,2.9,1124,0.475,0.405,0.527,278,423,89,13,1483
Gordon Hayward,SF,26,UTA,73,73,2516,22.2,0.371,9,18.2,27.6,7.1,3.3,10.4,4,1156,0.471,0.398,0.536,393,252,73,20,1601
Gorgui Dieng,PF,27,MIN,82,82,2653,14.2,0.253,14.2,8.6,14,3.2,2.5,5.7,2.5,661,0.502,0.372,0.514,647,158,88,95,816
Greg Monroe,C,26,MIL,81,0,1823,21.1,0.329,17,17.3,24.3,3,2.6,5.6,1.9,726,0.533,0,0.533,532,187,92,38,951
Greivis Vasquez,PG,30,BRK,3,0,39,4.1,0.375,2.7,17.5,11.3,0,0,0,-0.1,8,0.25,0.333,0.313,2,5,1,1,7
Harrison Barnes,PF,24,DAL,79,79,2803,16.3,0.22,8.2,7.8,25.3,2.5,2.1,4.6,0.1,1280,0.468,0.351,0.498,397,117,66,15,1518
Hassan Whiteside,C,27,MIA,77,77,2513,22.6,0.368,24,3.8,22.7,4.2,5.3,9.5,0.9,973,0.557,0,0.557,1088,57,56,161,1309
Henry Ellenson,PF,20,DET,19,2,146,7.5,0.125,15.3,7.2,24.7,-0.4,0.2,-0.2,-0.2,64,0.359,0.286,0.438,41,7,1,1,60
