Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Reggie Williams,SF,30,NOP,6,0,79,11.7,0.304,4,7.2,14.6,0.1,0.1,0.2,0,23,0.348,0.455,0.457,6,4,3,0,27
Richard Jefferson,SF,36,CLE,79,13,1614,8.2,0.315,6.9,6.6,12.2,1.3,0.8,2.1,-0.1,343,0.446,0.333,0.536,202,78,26,10,448
Richaun Holmes,C,23,PHI,57,17,1193,18.6,0.25,14.4,8.3,18.6,2.2,1.6,3.7,1.1,412,0.558,0.351,0.591,311,58,42,55,559
Ricky Rubio,PG,26,MIN,75,75,2469,16.8,0.438,7.2,38.9,17.4,4.5,1.7,6.1,1.7,650,0.402,0.306,0.448,305,682,128,10,836
Robert Covington,SF,26,PHI,67,67,2119,13.2,0.238,11.3,7.5,19.2,0,3.2,3.1,1.8,732,0.399,0.333,0.492,436,102,127,69,864
Robin Lopez,C,28,CHI,81,81,2271,14.4,0.134,12.3,5.6,17.5,1.8,2.4,4.3,0.6,775,0.493,0,0.493,519,80,18,117,839
Rodney Hood,SG,24,UTA,59,55,1593,12.4,0.173,7.3,10.1,22.9,0.7,1.9,2.6,0.3,666,0.408,0.371,0.494,202,96,38,11,748
Rodney McGruder,SG,25,MIA,78,65,1966,9.1,0.154,7.2,8.8,12.3,1.2,1.7,2.9,0.8,460,0.413,0.332,0.492,257,124,45,18,497
Rodney Stuckey,PG,30,IND,39,0,696,9.5,0.439,6.8,17.7,22.2,-0.5,0.4,-0.1,-0.7,244,0.373,0.317,0.412,84,84,16,0,281
Ron Baker,SG,23,NYK,52,13,857,7.5,0.198,6.2,17.3,14.8,-0.6,0.5,-0.1,-0.5,217,0.378,0.267,0.431,98,107,34,8,215
Rondae Hollis-Jefferson,SF,22,BRK,78,50,1761,13.7,0.467,13.6,13.4,18.7,0.4,2.2,2.6,0.4,542,0.434,0.224,0.447,452,154,82,44,675
Ronnie Price,PG,33,PHO,14,0,134,5.9,0.167,4.5,16.9,9,-0.1,0.1,0,0,24,0.167,0.176,0.229,11,18,11,1,14
Roy Hibbert,C,30,TOT,48,13,682,13.6,0.51,12.4,4.6,14,1,0.8,1.8,0.2,147,0.544,0,0.544,154,21,8,46,221
Rudy Gay,SF,30,SAC,30,30,1013,17.9,0.312,10.8,13.9,25.8,0.8,1,1.8,0.7,442,0.455,0.372,0.502,190,82,44,26,562
Rudy Gobert,C,24,UTA,81,81,2744,23.3,0.763,21.8,5.7,16.7,8.3,6,14.3,5.4,624,0.662,0,0.662,1035,97,49,214,1137
Russell Westbrook,PG,28,OKC,81,81,2802,30.6,0.433,17.1,57.3,41.7,8.5,4.6,13.1,12.4,1941,0.425,0.343,0.476,864,840,133,31,2558
Ryan Anderson,PF,28,HOU,72,72,2116,13.5,0.194,8.5,4.7,17.9,4,1.1,5.2,0.6,773,0.418,0.403,0.55,330,68,32,14,979
Ryan Kelly,PF,25,ATL,16,0,110,7.8,0.214,9,10.2,13.7,-0.1,0.2,0.1,-0.1,28,0.286,0.4,0.357,18,8,4,5,25
Salah Mejri,C,30,DAL,73,11,905,14.8,0.445,19.8,2.4,10.6,1.3,1.7,3,0.5,137,0.642,0.333,0.646,308,14,32,61,213
