Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,WS/48,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Damian Lillard,PG,26,POR,75,75,2694,24.1,0.366,7.6,28.7,31.5,8.8,1.5,10.3,0.184,4.3,1488,0.444,0.37,0.516,368,439,68,20,2024
Jeremy Lin,PG,28,BRK,36,33,883,19.2,0.353,8.1,35.5,26.6,1.3,0.8,2.1,0.115,0.9,400,0.438,0.372,0.51,135,184,41,14,523
Shaun Livingston,PG,31,GSW,76,3,1345,10.1,0.19,6.2,13.5,12.9,1.1,1.6,2.6,0.094,0,316,0.547,0.333,0.549,151,139,38,20,389
Shawn Long,C,24,PHI,18,0,234,24.1,0.321,20,10.7,25.4,0.6,0.3,0.9,0.195,0.3,109,0.56,0.368,0.592,85,13,9,9,148
Kevon Looney,C,20,GSW,53,4,447,13.4,0.318,15.2,8.5,13.4,0.7,0.8,1.4,0.154,0.3,107,0.523,0.222,0.533,124,29,14,17,135
Brook Lopez,C,28,BRK,75,75,2222,20.4,0.311,9.6,14.8,29.2,3.1,1.8,4.9,0.105,2,1172,0.474,0.346,0.531,403,176,38,124,1539
Robin Lopez,C,28,CHI,81,81,2271,14.4,0.134,12.3,5.6,17.5,1.8,2.4,4.3,0.09,0.6,775,0.493,0,0.493,519,80,18,117,839
Kevin Love,PF,28,CLE,60,60,1885,21.1,0.34,19.5,9.8,26.4,4,2.4,6.4,0.163,1.3,867,0.427,0.373,0.51,666,116,53,22,1142
Kyle Lowry,PG,30,TOR,60,60,2244,22.9,0.398,7.3,29.9,24.9,7.8,2.3,10.1,0.216,4.9,918,0.464,0.412,0.569,288,417,88,19,1344
John Lucas,PG,34,MIN,5,0,11,9.1,0,0,12.5,16.1,0,0,0,-0.033,0,4,0.25,0,0.25,0,1,2,0,2
Timothe Luwawu-Cabarrot,SF,21,PHI,69,19,1190,8.5,0.341,6.9,9.6,17.8,0,0.8,0.8,0.034,-0.6,361,0.402,0.311,0.471,149,75,32,10,445
Trey Lyles,PF,21,UTA,71,4,1158,10,0.18,11.7,9.6,21.7,-0.9,1.6,0.8,0.032,-0.3,439,0.362,0.319,0.436,235,70,26,20,440
Shelvin Mack,PG,26,UTA,55,9,1205,10.9,0.202,6.1,20.4,19.6,-0.1,1.5,1.4,0.054,0.1,381,0.446,0.308,0.495,128,154,42,3,430
Ian Mahinmi,C,30,WAS,31,0,555,14.1,0.676,15.2,4.7,14,0.5,0.9,1.4,0.123,0.4,111,0.586,,0.586,150,19,33,24,173
Thon Maker,C,19,MIL,57,34,562,14,0.271,11.8,6.2,17.8,0.8,0.5,1.3,0.113,0.1,181,0.459,0.378,0.536,114,23,10,26,226
Boban Marjanovic,C,28,DET,35,0,293,29.6,0.439,24.2,5.3,25.3,1.2,0.5,1.7,0.28,0.2,132,0.545,,0.545,130,9,6,12,191
Jarell Martin,PF,22,MEM,42,3,558,8.7,0.331,16.6,2.2,16.4,-0.2,0.8,0.6,0.054,-0.6,151,0.384,0.36,0.414,162,8,17,9,165
Wesley Matthews,SG,30,DAL,73,73,2495,11.9,0.211,6,13.6,19.4,1,2.1,3.1,0.06,1.3,847,0.393,0.363,0.496,259,210,77,16,986
Luc Mbah,SF,30,LAC,80,76,1787,10.3,0.23,5.4,3.1,11.6,1.3,1.8,3.1,0.084,1.2,378,0.505,0.391,0.562,174,39,81,35,484
James Michael,PF,24,GSW,52,2,457,13,0.359,10.8,4.9,14.6,0.3,0.8,1.1,0.115,0.2,117,0.53,0.25,0.538,90,17,18,29,147
Patrick McCaw,SG,21,GSW,71,20,1074,8.6,0.151,5.2,9,11.9,0.6,1.2,1.7,0.077,0.1,245,0.433,0.333,0.516,101,77,32,15,282
Sheldon McClellan,SG,24,WAS,30,3,287,10.1,0.36,6.7,7,14,0.3,0.2,0.5,0.076,-0.1,75,0.4,0.233,0.447,34,15,8,2,90
C.J. McCollum,SG,25,POR,80,80,2796,19.9,0.204,5.8,18,27.5,6.2,1.4,7.6,0.131,2.1,1441,0.48,0.42,0.544,291,285,72,42,1837
T.J. McConnell,PG,24,PHI,81,51,2133,13.7,0.176,6.5,37.5,14.4,1.4,2.4,3.8,0.084,0,512,0.461,0.2,0.472,251,534,134,10,556
Chris McCullough,PF,21,TOT,16,0,80,15.2,0.156,12.7,4.4,19.9,0.1,0.1,0.1,0.072,-0.1,32,0.5,0.143,0.516,19,2,2,2,36
Chris McCullough,PF,21,BRK,14,0,72,16.8,0.097,12.5,4.9,20.4,0.1,0,0.1,0.098,0,31,0.516,0.167,0.532,17,2,1,2,35
Chris McCullough,PF,21,WAS,2,0,8,1.1,2,14.1,0,15.7,0,0,0,-0.163,0,1,0,0,0,2,0,1,0,1
K.J. McDaniels,SF,23,TOT,49,0,505,11.5,0.225,8.7,4,18.1,0,0.5,0.5,0.051,-0.3,169,0.456,0.303,0.515,82,13,19,18,206
K.J. McDaniels,SF,23,HOU,29,0,212,10.2,0.147,7.7,2.7,16.4,0,0.2,0.3,0.058,-0.1,68,0.456,0.333,0.522,30,4,7,8,80
K.J. McDaniels,SF,23,BRK,20,0,293,12.5,0.277,9.4,4.9,19.3,0,0.3,0.3,0.046,-0.1,101,0.455,0.282,0.51,52,9,12,10,126
Doug McDermott,SF,25,TOT,66,5,1508,10.7,0.169,6.4,5.9,16.4,1.6,1,2.6,0.083,-0.6,497,0.447,0.372,0.524,179,58,13,5,592
Doug McDermott,SF,25,CHI,44,4,1078,11.3,0.18,6.5,6.5,17.6,1.1,0.8,1.9,0.084,-0.2,373,0.445,0.376,0.52,130,45,11,4,447
Doug McDermott,SF,25,OKC,22,1,430,9.3,0.137,6.3,4.4,13.6,0.5,0.2,0.7,0.08,-0.3,124,0.452,0.362,0.536,49,13,2,1,145
JaVale McGee,C,29,GSW,77,10,739,25.2,0.348,18.1,3.8,23.8,2,1.5,3.5,0.225,0.5,319,0.652,0,0.652,244,17,19,67,472
Rodney McGruder,SG,25,MIA,78,65,1966,9.1,0.154,7.2,8.8,12.3,1.2,1.7,2.9,0.072,0.8,460,0.413,0.332,0.492,257,124,45,18,497
Ben McLemore,SG,23,SAC,61,26,1176,9.8,0.222,6.4,6.9,20.1,-0.1,0.5,0.4,0.015,-0.8,419,0.43,0.382,0.507,130,51,29,6,495
Jordan McRae,SG,25,CLE,37,4,384,9.7,0.227,5.7,7.4,20.8,-0.1,0.2,0.2,0.02,-0.4,150,0.387,0.353,0.447,40,19,8,6,161
