Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,WS/48,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Andrew Wiggins,SF,21,MIN,82,82,3048,16.5,0.345,6.3,10.6,29,3.3,0.9,4.2,0.066,-0.6,1570,0.452,0.356,0.484,329,189,82,30,1933
C.J. Wilcox,SG,26,ORL,22,0,108,2.9,0.065,6,15.5,15.4,-0.2,0,-0.2,-0.09,-0.2,31,0.258,0.2,0.306,12,12,2,1,21
Alan Williams,C,24,PHO,47,0,708,19.5,0.419,22.4,5.2,20.9,1.1,0.9,2.1,0.142,0.1,267,0.517,0,0.517,292,23,27,32,346
Deron Williams,PG,32,TOT,64,44,1657,14,0.182,5.1,35.9,22.1,1.5,0.9,2.4,0.069,-0.1,600,0.438,0.363,0.509,147,360,31,8,701
Deron Williams,PG,32,DAL,40,40,1171,15,0.185,5.1,40.1,23.7,1.1,0.7,1.8,0.073,0.2,453,0.43,0.348,0.5,102,274,25,2,522
Deron Williams,PG,32,CLE,24,4,486,11.4,0.17,5.1,25.9,18.1,0.4,0.2,0.6,0.059,-0.3,147,0.463,0.415,0.537,45,86,6,6,179
Derrick Williams,PF,25,TOT,50,11,804,10.6,0.365,8.9,5.1,17.2,0.4,0.6,1.1,0.064,-0.4,244,0.443,0.309,0.504,130,28,14,7,304
Derrick Williams,PF,25,MIA,25,11,377,10.1,0.365,10.7,5.6,20.4,-0.1,0.4,0.3,0.038,-0.3,137,0.394,0.2,0.427,73,14,9,5,148
Derrick Williams,PF,25,CLE,25,0,427,11.1,0.364,7.4,4.7,14.4,0.6,0.2,0.8,0.086,-0.1,107,0.505,0.404,0.603,57,14,5,2,156
Lou Williams,SG,30,TOT,81,1,1994,21.4,0.458,5.5,19.9,29.1,5.1,1,6.1,0.147,1.4,998,0.429,0.365,0.511,202,239,80,19,1421
Lou Williams,SG,30,LAL,58,1,1403,23.9,0.469,5.1,22.3,30.6,4.3,0.6,4.9,0.169,1.5,734,0.444,0.385,0.527,132,183,65,10,1078
Lou Williams,SG,30,HOU,23,0,591,15.4,0.428,6.5,14.3,25.3,0.8,0.4,1.2,0.096,-0.1,264,0.386,0.318,0.464,70,56,15,9,343
Marvin Williams,PF,30,CHO,76,76,2295,13.7,0.213,11.9,7.1,16.3,2.4,2.6,5,0.105,1.3,704,0.422,0.35,0.51,498,106,58,53,849
Reggie Williams,SF,30,NOP,6,0,79,11.7,0.304,4,7.2,14.6,0.1,0.1,0.2,0.098,0,23,0.348,0.455,0.457,6,4,3,0,27
Troy Williams,SF,22,TOT,30,16,557,8.9,0.192,7,7,17.2,-0.4,0.7,0.3,0.03,-0.1,167,0.437,0.29,0.491,69,25,27,10,185
Troy Williams,SF,22,MEM,24,13,418,7.6,0.203,6.2,7.2,17.5,-0.6,0.6,0,0.001,-0.1,123,0.415,0.244,0.455,45,19,24,9,127
Troy Williams,SF,22,HOU,6,3,139,12.8,0.159,9.4,6.4,16.2,0.2,0.1,0.3,0.116,0,44,0.5,0.381,0.591,24,6,3,1,58
Kyle Wiltjer,PF,24,HOU,14,0,44,6.7,0.143,12.4,6.1,19.1,-0.1,0.1,0,-0.039,0,14,0.286,0.308,0.429,10,2,3,1,13
Justise Winslow,SF,20,MIA,18,15,625,8.2,0.209,8.3,15.5,19.8,-0.9,0.8,-0.1,-0.008,-0.1,225,0.356,0.2,0.371,94,66,27,6,196
Jeff Withey,C,26,UTA,51,1,432,18.8,0.466,16.2,2.5,14.9,1,0.9,1.8,0.205,0.4,103,0.534,0,0.534,121,7,16,32,146
Christian Wood,PF,21,CHO,13,0,107,15.1,0.652,14.9,2.8,15.4,0.1,0.1,0.3,0.125,0,23,0.522,0,0.522,29,2,3,6,35
Metta World,SF,37,LAL,25,2,160,6.2,0.235,6.8,9.8,21.9,-0.3,0.1,-0.2,-0.065,-0.2,68,0.279,0.237,0.346,20,11,9,2,57
Brandan Wright,PF,29,MEM,28,5,447,18.5,0.259,10,6,16.3,1.1,0.5,1.6,0.177,0.4,135,0.615,0,0.615,78,15,11,20,189
Delon Wright,PG,24,TOR,27,0,446,15,0.474,6.1,18.2,16.6,0.5,0.6,1.1,0.117,0.4,116,0.422,0.333,0.466,48,57,27,11,150
James Young,SG,21,BOS,29,0,220,10,0.155,6.6,2.6,13.3,0.1,0.2,0.3,0.076,-0.1,58,0.431,0.343,0.534,26,4,10,2,68
Joe Young,PG,24,IND,33,0,135,11.4,0.208,7.1,18,27.8,-0.2,0.1,-0.1,-0.022,-0.2,72,0.361,0.217,0.396,17,15,4,0,68
Nick Young,SG,31,LAL,60,60,1556,14.1,0.142,4.8,5.8,19.5,3,0.2,3.2,0.098,0.5,633,0.43,0.404,0.564,137,58,37,14,791
Thaddeus Young,PF,28,IND,74,74,2237,14.9,0.125,11.3,8.4,16.5,1.9,2.7,4.6,0.099,2,687,0.527,0.381,0.56,449,122,114,30,814
Cody Zeller,PF,24,CHO,62,58,1725,16.7,0.442,12.9,9.1,15.5,3.4,2.2,5.6,0.157,1.8,443,0.571,0,0.571,405,99,62,58,639
Tyler Zeller,C,27,BOS,51,5,525,13,0.247,13.2,12.2,16.5,0.5,0.6,1,0.094,-0.1,158,0.494,0,0.494,124,42,7,21,178
Stephen Zimmerman,C,20,ORL,19,0,108,7.3,0.161,17.6,5.3,14.8,-0.1,0.1,0,-0.005,-0.1,31,0.323,,0.323,35,4,2,5,23
Paul Zipser,SF,22,CHI,44,18,843,6.9,0.181,8,6.1,14.4,-0.3,0.8,0.5,0.03,-0.4,221,0.398,0.333,0.473,125,36,15,16,240
Ivica Zubac,C,19,LAL,38,11,609,17,0.206,14.3,8.1,20.3,0.6,0.5,1.1,0.086,-0.1,238,0.529,0,0.529,159,30,14,33,284
